

      x              z              Gas #   1



Node      Flux            Width          Conc
 1439    -0.727596E-11     0.100000E-05     0.129700E+01
 1440     0.727596E-11     0.100000E-05     0.129700E+01
 1441     0.727596E-11     0.100000E-05     0.129700E+01
 1442    -0.727596E-11     0.100000E-05     0.129700E+01
 1443     0.727596E-11     0.100000E-05     0.129700E+01
 1444    -0.727596E-11     0.100000E-05     0.129700E+01
 1445     0.727596E-11     0.300000E-05     0.129700E+01
 1448    -0.727596E-11     0.300000E-05     0.129700E+01
 1449     0.727596E-11     0.100000E-05     0.129700E+01
 1450     0.727596E-11     0.100000E-05     0.129700E+01
 1451     0.727596E-11     0.100000E-05     0.129700E+01
 1452     0.727596E-11     0.100000E-05     0.129700E+01
 1453     0.727596E-11     0.100000E-05     0.129700E+01
 1454    -0.727596E-11     0.100000E-05     0.129700E+01
 1455     0.727596E-11     0.100000E-05     0.129700E+01
 1456     0.727596E-11     0.100000E-05     0.129700E+01
 1457     0.727596E-11     0.100000E-05     0.129700E+01
 1458     0.727596E-11     0.100000E-05     0.129700E+01
 1459    -0.727596E-11     0.300000E-05     0.129700E+01
 1462     0.727596E-11     0.300000E-05     0.129700E+01
 1463     0.727596E-11     0.100000E-05     0.129700E+01
 1464     0.727596E-11     0.100000E-05     0.129700E+01
 1465     0.727596E-11     0.100000E-05     0.129700E+01
 1466     0.727596E-11     0.100000E-05     0.129700E+01
 1467     0.000000E+00     0.100000E-05     0.129700E+01
 1468     0.727596E-11     0.100000E-05     0.129700E+01
 1469     0.727596E-11     0.500000E-06     0.129700E+01
 1471     0.000000E+00     0.300000E-05     0.129700E+01
 1472     0.000000E+00     0.100000E-05     0.129700E+01
 1473    -0.727596E-11     0.100000E-05     0.129700E+01
 1474    -0.727596E-11     0.100000E-05     0.129700E+01
 1475     0.727596E-11     0.100000E-05     0.129700E+01
 1476    -0.727596E-11     0.100000E-05     0.129700E+01
 1477    -0.727596E-11     0.100000E-05     0.129700E+01
 1478     0.727596E-11     0.100000E-05     0.129700E+01
 1479    -0.727596E-11     0.100000E-05     0.129700E+01
 1480     0.727596E-11     0.300000E-05     0.129700E+01
 1482    -0.727596E-11     0.300000E-05     0.129700E+01
 1483     0.727596E-11     0.100000E-05     0.129700E+01
 1484    -0.727596E-11     0.100000E-05     0.129700E+01
 1485     0.727596E-11     0.100000E-05     0.129700E+01
 1486     0.727596E-11     0.100000E-05     0.129700E+01
 1487     0.727596E-11     0.100000E-05     0.129700E+01
 1488    -0.727596E-11     0.100000E-05     0.129700E+01
 1489     0.727596E-11     0.100000E-05     0.129700E+01
 1490     0.727596E-11     0.300000E-05     0.129700E+01
 1493     0.727596E-11     0.300000E-05     0.129700E+01
 1494    -0.727596E-11     0.100000E-05     0.129700E+01
 1495     0.727596E-11     0.100000E-05     0.129700E+01
 1496     0.727596E-11     0.100000E-05     0.129700E+01
 1497     0.727596E-11     0.100000E-05     0.129700E+01
 1498     0.727596E-11     0.100000E-05     0.129700E+01
 1499    -0.727596E-11     0.100000E-05     0.129700E+01
 1500     0.727596E-11     0.300000E-05     0.129700E+01
 1502     0.727596E-11     0.300000E-05     0.129700E+01
 1503     0.727596E-11     0.100000E-05     0.129700E+01
 1504     0.727596E-11     0.100000E-05     0.129700E+01
 1505     0.727596E-11     0.100000E-05     0.129700E+01
 1506     0.727596E-11     0.100000E-05     0.129700E+01
 1507     0.000000E+00     0.100000E-05     0.129700E+01
 1508     0.727596E-11     0.100000E-05     0.129700E+01
 1509     0.727596E-11     0.300000E-05     0.129700E+01
 1512     0.000000E+00     0.500000E-05     0.129700E+01
 1513     0.000000E+00     0.500000E-05     0.129700E+01
 1515     0.727596E-11     0.500000E-05     0.129700E+01
 1516     0.000000E+00     0.500000E-05     0.129700E+01
 1519     0.727596E-11     0.500000E-05     0.129700E+01
 1520     0.000000E+00     0.500000E-05     0.129700E+01
 1522     0.727596E-11     0.500000E-05     0.129700E+01
 1523     0.000000E+00     0.500000E-05     0.129700E+01
 1526     0.000000E+00     0.500000E-05     0.129700E+01
 1527     0.727596E-11     0.500000E-05     0.129700E+01
 1529     0.727596E-11     0.500000E-05     0.129700E+01
 1530     0.727596E-11     0.500000E-05     0.129700E+01
 1533     0.727596E-11     0.500000E-05     0.129700E+01
 1534     0.727596E-11     0.500000E-05     0.129700E+01
 1536     0.727596E-11     0.500000E-05     0.129700E+01
 1537     0.727596E-11     0.500000E-05     0.129700E+01
 1540     0.000000E+00     0.500000E-05     0.129700E+01
 1541     0.000000E+00     0.500000E-05     0.129700E+01
 1543     0.000000E+00     0.500000E-05     0.129700E+01
 1544     0.000000E+00     0.500000E-05     0.129700E+01
 1547     0.000000E+00     0.500000E-05     0.129700E+01
 1548     0.000000E+00     0.500000E-05     0.129700E+01
 1550     0.000000E+00     0.500000E-05     0.129700E+01
 1551     0.000000E+00     0.500000E-05     0.129700E+01
 1554     0.000000E+00     0.500000E-05     0.129700E+01
 1555     0.000000E+00     0.500000E-05     0.129700E+01
 1557     0.000000E+00     0.500000E-05     0.129700E+01
 1558     0.000000E+00     0.500000E-05     0.129700E+01
 1561     0.000000E+00     0.500000E-05     0.129700E+01
